,text,author_name,created_at
0,"RT @SamsungIndia: Mohandeep Singh, Senior Vice President - Mobile Business, Samsung India presents the Samsung Galaxy Ecosystem with the #G…",Dr. Maryam Khan,2020-08-25 12:52:07
1,RT @relijoon: the iPhone was in his pocket so there wasn’t any space for the Samsung! https://t.co/mtF1kqJFOU,jaqui⁷ THIS BEAT CHACHING LIKE MONEY,2020-08-25 12:52:04
2,"@SamsungIndia @SamsungIndia 💓💓

50X Super Resolution Zoom

#Samsung
#GalaxyPowerfest
#GalaxyNote20… https://t.co/AyAFrkJN5C",Tanya Motwani,2020-08-25 12:52:02
3,"@SamsungIndia My Favorite Colour of Samsung Galaxy Note 20 is

Mystic Black

#GalaxyNote20
#GalaxyNote20Ultra… https://t.co/DEzmglu1ew",kishorek,2020-08-25 12:52:01
4,Samsung’s environmental credibility will be destroyed if it agrees to build Vung Ang 2 #WrongCallOnCoal,Sarah Bowles,2020-08-25 12:52:00
5,@estetippeu Samsung A30 👍,Guwen 生＼(◎o◎)／,2020-08-25 12:51:59
6,RT @SamsungIndia: The new #GalaxyNote20 series gives you the power to work so that you can make the most out of your working hours. Tell us…,AnilKumar,2020-08-25 12:51:59
7,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Swaroop Sandra,2020-08-25 12:51:59
8,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Suruchi Mehta,2020-08-25 12:51:56
9,Do I want to upgrade my phone to another Samsung or to the Google pixel?,Amber🧸,2020-08-25 12:51:56
10,Samsung Galaxy Z Fold2 sporge la testa su YouTube: il video hands on https://t.co/cjhIyHobqf https://t.co/QLHYxBotyh,TuttoAndroid,2020-08-25 12:51:55
11,@noxcultism @AndroidAuth It's not directly from Samsung.,Moistures,2020-08-25 12:51:54
12,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Priyadarshini,2020-08-25 12:51:54
13,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,AnilKumar,2020-08-25 12:51:53
14,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Sudeep Tawde,2020-08-25 12:51:47
15,"Samsung Galaxy Note20 5G (mystic gray, 256 GB) mit o2 Free Unlimited Smart Junge Leute DH https://t.co/37NWZ4Wnnp",Toni Schlack,2020-08-25 12:51:47
16,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Rohit Barala,2020-08-25 12:51:45
17,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,AnilKumar,2020-08-25 12:51:45
18,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Mukhtar Khan,2020-08-25 12:51:43
19,RT @relijoon: the iPhone was in his pocket so there wasn’t any space for the Samsung! https://t.co/mtF1kqJFOU,FúñkNSöûl🌈,2020-08-25 12:51:42
20,RT @nicholasflood: New Samsung Note 20 Ultra has just arrived. Biggest phone I've ever had but doesn't feel too big. New data transfer proc…,Keron Hurlstone,2020-08-25 12:51:41
21,RT @MobileSyrup: Contest: Win a Bell Samsung Galaxy S20 5G! https://t.co/99qTpE49oL https://t.co/BjJmtzrv1r,eugene3_c,2020-08-25 12:51:39
22,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,RajK,2020-08-25 12:51:39
23,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,AnilKumar,2020-08-25 12:51:39
24,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,kishorek,2020-08-25 12:51:38
25,RT @relijoon: the iPhone was in his pocket so there wasn’t any space for the Samsung! https://t.co/mtF1kqJFOU,adama⁷ DYNAMITE,2020-08-25 12:51:38
26,"@Samsung https://t.co/1A0fO0fWFm STOP SUPPORTING CLIMATE DESTROYING COAL ! STOP VUNG ANG 2, STOP DESTROYING THE ENV… https://t.co/CVIH5740Wm",Ruthie,2020-08-25 12:51:37
27,Samsung’s environmental credibility will be destroyed if it agrees to build Vung Ang 2 #WrongCallOnCoal,Kathryn Summerfield,2020-08-25 12:51:33
28,"RT @ShubhamKatara09: @SamsungIndia Samsung #GalaxyNote20
#GalaxyNote20Ultra
#GalaxyPowerfest

1). (6.9-inch) WQHD+ dynamic Amoled 120Hz DIS…",Shubham Katara,2020-08-25 12:51:30
29,"RT @91mobiles: Samsung Galaxy M51 renders, full specifications leak ahead of India launch https://t.co/yCE8yZizrh",Nithin.C.N,2020-08-25 12:51:28
30,@CrankyPepe @sawnickoriginal It’s already out but sold out most places. Check Portuguese Samsung website if they ha… https://t.co/HYak4nwlpB,melisa,2020-08-25 12:51:27
31,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Rohit Barala,2020-08-25 12:51:27
32,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,kishorek,2020-08-25 12:51:26
33,the iPhone was in his pocket so there wasn’t any space for the Samsung! https://t.co/mtF1kqJFOU,hami⁷,2020-08-25 12:51:23
34,This community has already survived one industrial disaster. Will @Samsung's new coal plant be the next? https://t.co/7ts9xzsrF1,archbishopwibblywobbly,2020-08-25 12:51:23
35,"@SamsungIndia My Favorite feature of Samsung Galaxy Note 20 is

50X Super Resolution Zoom

#GalaxyNote20… https://t.co/OrgxlIVI1S",kishorek,2020-08-25 12:51:22
36,@ShokeenSanchit Better to go for Samsung.,Ashish Patel,2020-08-25 12:51:18
37,The Samsung ones are actually better https://t.co/Gyg8H4WwJf,Wray’s Nephew,2020-08-25 12:51:16
38,"@SamsungIndia Samsung #GalaxyNote20
#GalaxyNote20Ultra
#GalaxyPowerfest

1). (6.9-inch) WQHD+ dynamic Amoled 120Hz… https://t.co/dRhapy8QYI",Shubham Katara,2020-08-25 12:51:11
39,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Vishnusai,2020-08-25 12:51:10
