,Unnamed: 0,text,author_name,created_at
10000,0,"RT @ATTexplore: Enter for a chance to win a Samsung Galaxy Z Flip!  
Here’s how:

RT or reply to this post by 8/1/20
Tag a friend 
and incl…",Lucianna Farmer,8/1/2020 23:58
10001,1,"Haha, my phone autocorrects assmunch to Samsung because apparently that corporation has self-esteem issues.",House,8/1/2020 23:58
10002,2,"RT @edgyusual: I know you wanna facetime, baby i have Samsung",goth.lullaby,8/1/2020 23:58
10003,3,"Magnetic Phone Mount for Car, Humixx Upgrated Gravity Hands-Free Super Magnetic Car Air Vent Phone Holder Compatibl… https://t.co/GZqwXvsiq2",Kate Weber,8/1/2020 23:58
10004,4,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,ana's soulmate⁷,8/1/2020 23:58
10005,5,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,✨𝑘𝑎𝑦𝑙𝑎✨,8/1/2020 23:58
10006,6,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",simo,8/1/2020 23:58
10007,7,"RT @btstranslation7: saw this while going back home😇

""kim seokjin (@bts_twt jin)
1992.12.04 -

because his face is so good looking
[his pi…",It’s Near!⁷,8/1/2020 23:58
10008,8,Samsung Electronics to halt production at its last computer factory in China https://t.co/cIck0zFOn5,robert sealey,8/1/2020 23:58
10009,9,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,a⁷,8/1/2020 23:57
10010,10,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Sunday Samuel,8/1/2020 23:57
10011,11,I'm getting a blue Samsung Galaxy A21 btw :D,tay 🥺👉👈,8/1/2020 23:57
10012,12,"RT @spectatorindex: BUSINESS: Samsung will shut down production at its last computer factory in China, and use the site to focus on researc…",Hamza Alsbaihi,8/1/2020 23:57
10013,13,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,˗ˏˋ𝓃𝒾𝒸⁷ˎˊ˗,8/1/2020 23:57
10014,14,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,KJ⁷ ⟭⟬ ᵇᵗˢ,8/1/2020 23:57
10015,15,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,Annabelle Cardenas,8/1/2020 23:57
10016,16,"RT SamsungBizUSA: In 4⃣ days, we are unpacking the power. Join us wherever you are for #Unpacked on August 5 at 10… https://t.co/L4FB6c38S6",RJ 🟢,8/1/2020 23:57
10017,17,"I must say, The camera on the @samsung #GalaxyS20Ultra is poor. Most pics tonight's I found were blurry. An old App… https://t.co/7bB5DaBCXC",Andrew B.,8/1/2020 23:57
10018,18,"RT @ATTexplore: Enter for a chance to win a Samsung Galaxy Z Flip!  
Here’s how:

RT or reply to this post by 8/1/20
Tag a friend 
and incl…",Pat Connors,8/1/2020 23:57
10019,19,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,☁️ ᵇᵃⁿᵍᵗᵃⁿ ˡᵒᵛᵉˢ ʸᵒᵘ ⟭⟬ ⁷,8/1/2020 23:57
10020,20,I've signed up at https://t.co/n4peZQRZQO to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Naufal N. Askha,8/1/2020 23:57
10021,21,@lasterd80 @1d3nn1ss @JayPaRod @TheGalox_ @not_koh @not_roh @sondesix Please @1d3nn1ss buy Samsung phone and you will experience true power!,Xlord,8/1/2020 23:56
10022,22,RT @u4eakooks_net: yoongi's samsung phone is the only one not blurred 😆😆😆 https://t.co/x6xGop8uPX,chyrylle,8/1/2020 23:56
10023,23,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,maryam⁷,8/1/2020 23:56
10024,24,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,Ev_BTS⁷🌞,8/1/2020 23:56
10025,25,RT @kimvanadium: bangtan's phones getting blurred out of the video except for yoongi's samsung 😭 https://t.co/HRIx2MiMzH,비앙카,8/1/2020 23:56
10026,26,"@gwestr Instead of buying quality sausages I now buy processed ones with mystery meat inside. 

Instead of buying a… https://t.co/F7d5qDsQhv",(satire)KARL@🇪🇺GERMANY🇩🇪🟡🔴⚫ Economist P.H.D,8/1/2020 23:56
10027,27,"RT @BoycottHegemony: Labor costs, trade war, pandemic have companies rethinking production https://t.co/UU6ZYhGx6c",ALVIN AU,8/1/2020 23:56
10028,28,RT @FrontalAssault1: Just In: Samsung to halt PC production in China in latest blow to manufacturing sector in China.,Sugata Chattopadhyay,8/1/2020 23:56
10029,29,RT @danharris: Japan and Korea and the EU and pretty much everyone are doing what they can to get the hell out of China before things get e…,Tompkinsjudyl,8/1/2020 23:56
10030,30,Samsung Galaxy Note20 case renders surface https://t.co/Nqn3dYXj8X https://t.co/a7Nu9XyMOw,ONES_Gadget,8/1/2020 23:56
10031,31,@fatbaldguyracin @Samsung @SamsungUS I had Best Buy come out and square up my settings. That was after I returned a… https://t.co/qwqTcvQcg4,David Morano,8/1/2020 23:56
10032,32,@feisty_la Get a samsung,#ArrestBreonnaTaylorsKillers,8/1/2020 23:55
