,text,author_name,created_at
0,"@tomshardware looks nice. Yep; the writes need to be better, up to 3,300+ MBps and not at 3,000. the reads are fine… https://t.co/wjaRMhqQL3",GoGreen PC Tune Up (GGPCTU),2020-08-25 12:54:46
1,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Bakkialakshmi,2020-08-25 12:54:45
2,"RT @StatiSense: THE 10 MOST VALUABLE BRANDS 2020

#1 🇺🇸Amazon: $220B
#2 🇺🇸Google: $160B
#3 🇺🇸Apple: $140B
#4 🇺🇸Microsoft: $117B
#5 🇰🇷Samsun…",David Chima,2020-08-25 12:54:41
3,"@SamsungIndia 🔹Intelligent Processor 
🔹Upgraded Cooling System
🔹The Smooth 120Hz Display gives me the power to play… https://t.co/MMc3dE8YgT",Bakkialakshmi,2020-08-25 12:54:41
4,"@SamsungIndia 1. A newly renovated intelligent processor.
2. Upgraded Cooling System.
3. Smooth 120Hz display.… https://t.co/ng6A3K3cXQ",🎧🔯 Sharadkumar T 🔯🎵 👁️👁️,2020-08-25 12:54:32
5,@SamsungIndia #GalaxyNote20 #Samsung #ContestAlert Mystic Bronze,Jahir Mondal,2020-08-25 12:54:31
6,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Drupad Vyas,2020-08-25 12:54:26
7,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Nani P,2020-08-25 12:54:25
8,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Suruchi Mehta,2020-08-25 12:54:23
9,"RT @Poorvika_Mobile: The wait is over, the Samsung Galaxy Note20 series is now at https://t.co/Wpmqg4vcah !

Starting at ₹64999*

Buy Now :…",guna ve,2020-08-25 12:54:18
10,"@Tanviru59858460 Hi Tanvirul Islam, we suggest you to remove the message because it contains confidential data.  If… https://t.co/rEHMt8vFuh",Supporto Samsung,2020-08-25 12:54:15
11,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,❤ 𝒜𝒷𝒽𝒶 ❤,2020-08-25 12:54:12
12,@Samsung https://t.co/xPsVgPdtw2 SAY NO TO CLIMATE DESTROYING COAL NOW ! #BOYCOTTSAMSUNG,Ruthie,2020-08-25 12:54:10
13,"RT @TXTBigHitWW: WHOSFAN | 200825

Bus TV AD at Samsung Station:
2. #YEONJUN: 44.98% 🔼

Only a bit until we will take over the first place.…",Cicii𖧵⁵,2020-08-25 12:54:03
14,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Anuradha Chhabra,2020-08-25 12:53:55
15,"@XxDARKxMAGIC @BlackMagicHusky @FNBRHQ Well that's what this whole case is about really - as the other person said,… https://t.co/eHi4CHpAO3",PL84,2020-08-25 12:53:52
16,"Answer &gt; Link to windows
#GalaxyNote20
#Samsung
#ContestAlert https://t.co/jJbN41Udvf",ℭ𝔥𝔥𝔟𝔦𝔭𝔞𝔱𝔢𝔩 ♛,2020-08-25 12:53:52
17,"What is the point of having a coupon code that we cannot redeem,You need to fix your service Samsung. Actually I am… https://t.co/3y7pHufh2g",Mohammad Danish,2020-08-25 12:53:50
18,@AudiPhotography @SamsungIndia I prefer Google Pixel Dynamic range than Samsung...looks very synthetic color,surendro,2020-08-25 12:53:45
19,"@SamsungIndia Answer &gt; Link to windows
#GalaxyNote20
#Samsung
#ContestAlert",ℭ𝔥𝔥𝔟𝔦𝔭𝔞𝔱𝔢𝔩 ♛,2020-08-25 12:53:40
20,RT @MobileSyrup: Contest: Win a Bell Samsung S20+ 5G! https://t.co/ujZjy2SCJV https://t.co/c6YVdmUr3B,#MELNYKOUT,2020-08-25 12:53:40
21,"@SamsungIndia The best three features are:-

1) Upgraded Cooling System
2) 120 Hz AMOLED Display
3) Intelligent Pow… https://t.co/tUqLIhp5dD",Drupad Vyas,2020-08-25 12:53:38
22,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,Deejaysai Kumar,2020-08-25 12:53:34
23,"RT gizbot ""All you need to know about the Samsung Galaxy M31s SamsungIndia
https://t.co/ZvDSis7yWf""",Vivek Chhetri,2020-08-25 12:53:20
24,.@Samsung the world and our climate can’t afford any new coal plants! Please say no to building new coal in Vietnam #WrongCallOnCoal,Keith Dancey,2020-08-25 12:53:20
25,RT @SamsungIndia: The new #GalaxyNote20 series gives you the power to work so that you can make the most out of your working hours. Tell us…,kishorek,2020-08-25 12:53:19
26,#followtrick taekook jikook thread fav like rt #OnBTS au ateez red velvet loona #followme kpop blackpink exo… https://t.co/0znYVc4IxV,𝐠𝐢𝐨 ៹ ace is coming,2020-08-25 12:53:15
27,RT @androidcentral: Do you think Samsung should end the Galaxy Note series? https://t.co/vSxJMEsigA,Maleni Maliya,2020-08-25 12:53:15
28,I’ll never forget sitting in the auditorium listening to that heat on my Samsung galaxy 3 https://t.co/FCR9Pwz79m,DELE v. the World 🌍,2020-08-25 12:53:11
29,Existential threat for Samsung's Note: Galaxy S21 to get new feature https://t.co/yIpX2Gv7aN https://t.co/X9dQO4WeQu,Official FanDroid,2020-08-25 12:53:11
30,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Ganesh,2020-08-25 12:53:05
31,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Basha Gaud Dumala,2020-08-25 12:52:56
32,"RT @SamsungDisplay: Some things you need to experience firsthand. 

Our Executive Briefing Center in Dallas is now open for tours, by appoi…",Samsung / PRISMVIEW LED Video Displays,2020-08-25 12:52:55
33,"RT @pchain_org: Qiangsheng Smart-e, #PCHAIN 1st $PI #CCC used by passenger &amp; freight #vehicles was selected as one of 2020 Global #Blockcha…",RoadtoBitcoin,2020-08-25 12:52:53
34,"RT @SamsungIndia: Rupesh Sinha, @beebomco  states his 5 top features that makes the #GalaxyNote20 series the ultimate Powerphones for work…",Dr. Maryam Khan,2020-08-25 12:52:42
35,"[Hindi] Samsung Galaxy M51 Rumour Roundup - 7000mAh battery, SD 730G, 64MP Video Presented By @NotABengali On… https://t.co/tHbrFeu2BF",Anurag Kumar,2020-08-25 12:52:35
36,"RT @Gunasamss_YT: Here's How The Crater And Thor's Hammer Looks Like On Fortnite Mobile !
#Samsung #Fortnite #FortniteMobile #FortniteBR #F…",GunasamssYT - Fortnite Leaks & News,2020-08-25 12:52:28
37,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Chirag Jain,2020-08-25 12:52:26
38,"Finally got my hands on the Note20 Ultra. The big boy. 

Video coming soon.

#note20ultra #Note20Ultra5G #Samsung https://t.co/ku6a3ucuD9",Justin Agoncillo,2020-08-25 12:52:26
39,"Samsung Galaxy Buds at Rs. 14990

Bronze : https://t.co/Ot9AQR5AHn

Black : https://t.co/RsbzqYZEpv",BiggDeals,2020-08-25 12:52:25
40,"Pokemon Go Walking Glitch:
Note- only works on Samsung
1. Download defit on play store
2. Login
3. Sync your accoun… https://t.co/33BPvrqvFY",PokemonGoTrainer,2020-08-25 12:52:23
41,"Allah beside me
thanks to allah for everyting

j500g for gojek
mi max 2 for gaming
Samsung A8 for grab
note 4x mido… https://t.co/dpbtntVNv3",tukang_umek_umek_hp,2020-08-25 12:52:23
42,I have never regretted my excellent Mitsubishi heat pump until I learned about your coal involvement.  I can’t beli… https://t.co/AibS0wV8yl,Imagine 2012,2020-08-25 12:52:22
43,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Drupad Vyas,2020-08-25 12:52:19
44,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,Tanya Motwani,2020-08-25 12:52:18
45,Do you think Samsung should end the Galaxy Note series? https://t.co/vSxJMEsigA,Android Central,2020-08-25 12:52:11
46,"RT @SamsungIndia: Mohandeep Singh, Senior Vice President - Mobile Business, Samsung India presents the Samsung Galaxy Ecosystem with the #G…",Dr. Maryam Khan,2020-08-25 12:52:07
47,"@SamsungIndia @SamsungIndia 💓💓

50X Super Resolution Zoom

#Samsung
#GalaxyPowerfest
#GalaxyNote20… https://t.co/AyAFrkJN5C",Tanya Motwani,2020-08-25 12:52:02
48,"@SamsungIndia My Favorite Colour of Samsung Galaxy Note 20 is

Mystic Black

#GalaxyNote20
#GalaxyNote20Ultra… https://t.co/DEzmglu1ew",kishorek,2020-08-25 12:52:01
49,Samsung’s environmental credibility will be destroyed if it agrees to build Vung Ang 2 #WrongCallOnCoal,Sarah Bowles,2020-08-25 12:52:00
50,@estetippeu Samsung A30 👍,Guwen 生＼(◎o◎)／,2020-08-25 12:51:59
51,RT @SamsungIndia: The new #GalaxyNote20 series gives you the power to work so that you can make the most out of your working hours. Tell us…,AnilKumar,2020-08-25 12:51:59
52,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Swaroop Sandra,2020-08-25 12:51:59
53,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Suruchi Mehta,2020-08-25 12:51:56
54,Do I want to upgrade my phone to another Samsung or to the Google pixel?,Amber🧸,2020-08-25 12:51:56
55,Samsung Galaxy Z Fold2 sporge la testa su YouTube: il video hands on https://t.co/cjhIyHobqf https://t.co/QLHYxBotyh,TuttoAndroid,2020-08-25 12:51:55
56,@noxcultism @AndroidAuth It's not directly from Samsung.,Moistures,2020-08-25 12:51:54
57,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Priyadarshini,2020-08-25 12:51:54
58,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,AnilKumar,2020-08-25 12:51:53
59,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Sudeep Tawde,2020-08-25 12:51:47
60,"Samsung Galaxy Note20 5G (mystic gray, 256 GB) mit o2 Free Unlimited Smart Junge Leute DH https://t.co/37NWZ4Wnnp",Toni Schlack,2020-08-25 12:51:47
61,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Rohit Barala,2020-08-25 12:51:45
62,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,AnilKumar,2020-08-25 12:51:45
63,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Mukhtar Khan,2020-08-25 12:51:43
64,RT @nicholasflood: New Samsung Note 20 Ultra has just arrived. Biggest phone I've ever had but doesn't feel too big. New data transfer proc…,Keron Hurlstone,2020-08-25 12:51:41
65,RT @MobileSyrup: Contest: Win a Bell Samsung Galaxy S20 5G! https://t.co/99qTpE49oL https://t.co/BjJmtzrv1r,eugene3_c,2020-08-25 12:51:39
66,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,RajK,2020-08-25 12:51:39
67,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,AnilKumar,2020-08-25 12:51:39
68,RT @SamsungIndia: The new #GalaxyNote20 series comes in a stunning array of mystic hues. Tell us which one is your favourite in the comment…,kishorek,2020-08-25 12:51:38
69,"@Samsung https://t.co/1A0fO0fWFm STOP SUPPORTING CLIMATE DESTROYING COAL ! STOP VUNG ANG 2, STOP DESTROYING THE ENV… https://t.co/CVIH5740Wm",Ruthie,2020-08-25 12:51:37
70,Samsung’s environmental credibility will be destroyed if it agrees to build Vung Ang 2 #WrongCallOnCoal,Kathryn Summerfield,2020-08-25 12:51:33
71,"RT @ShubhamKatara09: @SamsungIndia Samsung #GalaxyNote20
#GalaxyNote20Ultra
#GalaxyPowerfest

1). (6.9-inch) WQHD+ dynamic Amoled 120Hz DIS…",Shubham Katara,2020-08-25 12:51:30
72,"RT @91mobiles: Samsung Galaxy M51 renders, full specifications leak ahead of India launch https://t.co/yCE8yZizrh",Nithin.C.N,2020-08-25 12:51:28
73,@CrankyPepe @sawnickoriginal It’s already out but sold out most places. Check Portuguese Samsung website if they ha… https://t.co/HYak4nwlpB,melisa,2020-08-25 12:51:27
74,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,Rohit Barala,2020-08-25 12:51:27
75,RT @SamsungIndia: The new #GalaxyNote20 series lets you seize every moment in a perfect way. Tell us your favourite camera feature in the c…,kishorek,2020-08-25 12:51:26
76,This community has already survived one industrial disaster. Will @Samsung's new coal plant be the next? https://t.co/7ts9xzsrF1,archbishopwibblywobbly,2020-08-25 12:51:23
77,"@SamsungIndia My Favorite feature of Samsung Galaxy Note 20 is

50X Super Resolution Zoom

#GalaxyNote20… https://t.co/OrgxlIVI1S",kishorek,2020-08-25 12:51:22
78,@ShokeenSanchit Better to go for Samsung.,Ashish Patel,2020-08-25 12:51:18
79,The Samsung ones are actually better https://t.co/Gyg8H4WwJf,Wray’s Nephew,2020-08-25 12:51:16
80,"@SamsungIndia Samsung #GalaxyNote20
#GalaxyNote20Ultra
#GalaxyPowerfest

1). (6.9-inch) WQHD+ dynamic Amoled 120Hz… https://t.co/dRhapy8QYI",Shubham Katara,2020-08-25 12:51:11
81,"@SamsungIndia Samsung's DeX mode now also screen casts to your TV, making it a giant presentation monitor which mak… https://t.co/4PypAhJsiQ",Kalpesh Parmar #StayHome #StaySafe,2020-08-25 12:51:10
82,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Shamsheer Khan,2020-08-25 12:51:09
83,RT @SamsungIndia: The new #GalaxyNote20 series makes you the best gamer in your squad. Tell us those three features which give you the powe…,Kamal,2020-08-25 12:51:04
84,RT @SamsungIndia: The new #GalaxyNote20 series gives you the power to work so that you can make the most out of your working hours. Tell us…,Swaroop Sandra,2020-08-25 12:51:03
85,"RT @VodafoneGhana: Buy a Samsung Galaxy S20, S20+, or S20 Ultra and enjoy amazing rewards plus 20GB free data spread across 6 months. 

Dia…",𝚁𝚊𝚑𝚎𝚎𝚖,2020-08-25 12:51:03
