,Tweets
0,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
1,": This Reuters report makes fairly clear what’s really going on: TikTok is close to a deal to sell to Microsoft, the Chinese own…"
2,: Microsoft isn’t the only company interested in buying TikTok’s U.S. operations  via  …
3,": And there you go, kids. Your minds are now safely in the hands of Microsoft and the NSA."
4,: Sources: ByteDance has agreed to divest US operations of TikTok under a proposed new deal with the White House that would see…
5,The NBA returned to action on Thursday and brought along virtual fans in an experience powered by Microsoft Teams - National Basketball Association BasketBall   
6,Upcoming billing changes to Azure Bandwidth 
7,AzureSphere version 20.07 is now available! Read all about it. Azure  
8,"Microsoft Again Urges Exchange Server Patch, as Attacks Resurge  via  healthcare cybersecurity"
9,Tik Tok isn’t gone I see Microsoft buying the rights before trump takes a dump
10, I’ve never had a TikTok account but a  buyout sounds solid &amp; a way to better ensure privacy &amp; security
11,"  Okay, okay, okay! I’ll download Microsoft edge then 🤣"
12,"Microsoft have some very ambitious sustainability goals. In many areas are leading the way. I'm not so sure about this latest story though. Most hydrogen is produced from fossil fuels &amp; is energy intense. Views   ?
"
13,Went to sleep thinking tik tok was getting banned in the U.S woke up to Microsoft buying it and it now going anywhere 🤯
14,": Microsoft is planning to buy TikTok and then the game of TikTok will be completely changed. 
"
15,": And there you go, kids. Your minds are now safely in the hands of Microsoft and the NSA."
16,": Microsoft Teams is helping 80,000 students at the Università di Bologna learn in a new way."
17,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
18,: Microsoft set to rebrand Bing to Microsoft Bing -  
19,: I remember Putin/Kremlin getting pilloried for doing this same thing: wage big public scare campaign against a successf…
20,: If Microsoft buys TikTok will it be renamed to Bing Bong?
21,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
22,"Remember when Microsoft was the bad guy? Well, now imagine if it was Facebook instead of Microsoft and the latter is now some sort of hero just for kicking fb in the balls. Love this.
"
23,The guys say that TikTok either bought Microsoft or one of the TT robots says that it takes at least a year to uninstall the program .... Don't you know the truth?
24,: A source confirms to NBC News that Microsoft is in talks to purchase TikTok from its Chinese owner. The popular video-sharin…
