,Tweets
25,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
26,"if you think tik tok’s alogrithm is bad wait until you hear about alphabet, or microsoft, or amazon, or facebook"
27, Give me your
28,": ByteDance Caves To Trump, Agrees To Sell 100% Of TikTok To Microsoft "
29,": So after DC has been attacking TikTok for months, now they want it to break from the Chinese parent company in order that Mi…"
30, Microsoft will be buying TikTok. Now the US military and the CIA can spy on the world again😂😂
31, Microsoft buying  !
32, Tik Tok is the reason no one showed up at one of Trump’s rallys lol but he claims it’s because it gives China information yet there was an offer for Microsoft to purchase the American operations but he denied it. The president is just ridiculous. Banning Tik Tok before the KKK.
33,"  Yeah, Microsoft has been rumored to be the landing spot for tiktok as bytedance divests tiktok. This has been known for weeks."
34,_Bersin _Jarret  _us I wish you would have done this IN a tik tok ;-)
35, DO NOT BUY TIKTOK
36,: I needa know why trump wont let Microsoft buy TikTok. Is it cause gen z bought tickets to his rally and didn’t show up?
37,"   It was inferior to twitch, but superior to YouTube gaming. 

It did have a chance, but it was mishandled by Microsoft. The integrated Mixer app into the Xbox dashboard was glitchy and devoid of features from the beginning to the day they shut mixer down."
38,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
39,:           …
40,": ByteDance and Microsoft offer a deal to allow TikTok to remain in the U.S., per report  by "
41,": And there it is. So WHEN Trump changes his tune on TikTok, simply because it will be owned by Microsoft, yet while remaini…"
42," Wait, is Microsoft trying to buy tik tok or are you just saying things"
43,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
44,Earn a successful mark in Microsoft 70-741 exam via first-rate dumps 
45,: microsoft i owe everything to u
46,: Microsoft Excel (2016) has a feature that returns real-time stock prices from ticker symbols from all exchanges. You can e…
47,: Zoom pulls video cutouts for backgrounds. MLB could beam fans directly into individual seats on TV feeds with software like…
48,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
49,: Microsoft isn’t the only company interested in buying TikTok’s U.S. operations  via  …
50," Microsoft        is gonna buy tiktok..
     👆Bills wife named company after bills skin flute
😂 "
51,": The new cold war escalates: The US govt showed how authoritarian it is by announcing it will ban TikTok (for the ""crime…"
52, if you buy TikTok you openly support pedophilia
53,": TikTok was possibly going to be banned in the US.

Then word leaked out that Microsoft may buy TikTok, or possibly a consortium o…"
54,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
55,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
56,TikTok owner agrees to sell to Microsoft to avoid US ban | Dexerto 
57, TikTok is not going Microsoft bought it off the Chinese owner
58,Let’s go tiktok stays. Microsoft bought the US portion of tiktok
59,Microsoft Flight Simulator 2020 coming to Steam — Launch date confirmed 
60,"In the novel this scene takes place outside the Lyceum Theatre in Covent Garden. We used instead a perfect copy of it but you will never guess its name. Watch the film tonight on Amazon Prime Video, iTunes, Google Play, Microsoft Films. soho coventgarden drama theatre films "
61,": 50% of _us users are 18-34. That’s 35 million voting age folk Trump just pissed off. 

PresidentSnowflake banni…"
62,: If Microsoft acquires TikTok: we need a contact clause that requires _Ballmer to start an account. 
63, Isn't that the guy that started Microsoft
64,": NEW: Trump ""has a deal on his desk,"" whereby Microsoft would lead an acquisition of 100% of the U.S. operations of TikTok, accor…"
65,: The Editorial Board: A Microsoft purchase of TikTok could solve a political and business problem. 
66,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
67, microsoft doesn't own the franchise so its possible
68,:   Microsoft trying to shield them from  by BUYING THEM...THEY WILL FAIL‼️
69,: this really is too much fun. I feel like a kid again playing Microsoft Flight Simulator 
70,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
71,": Microsoft is planning to buy TikTok and then the game of TikTok will be completely changed. 
"
72," Most apps get their information from NOAA, so finding an interface you like is all to be concerned about. 
Microsoft has a good one, as it gives the historical high and low temperatures as well as the previous year. 
I went high tech years ago. "
73, TikTok is not going Microsoft bought it off the Chinese owner
74,"  What about Facebook, Microsoft, Google, Twitter, etc?"
75,  _us what. they can still ban it even if microsoft buys it. you cant overpower the gov with money.
76,: If Microsoft buys TikTok will it be renamed to Bing Bong?
77,: Tech is eating the world: Total mkt cap of FANGMAN just hit fresh ATH in a week when bosses of Big Tech have tried to…
78,"Just started trending in Pakistan.

Microsoft
Iqrar
ENGvIRE"
79,Trump already said he is going to ban Tik Tok today and doesn't know anything about Microsoft deal! 
80,"  Bold assumption, I like the 2 games they did this.. year.
Also those games released. I said announced, like most of the sony and microsoft stuff is. Nintendo can do that also they've shown that they can still make videos so its not like an online announcement is impossible"
81,"_com: TikTok owners want Microsoft to take over US business in a bid to escape looming ban – report 

 https…"
82," Ik a few 

Are u a rose because I wanna pick u 
 
Hey my name is Microsoft. Can I crash at your place tonight? 

I must be in a musuem because your a work of art. 

All of this is a joke just saying"
83,"“He’s banning tiktok because it’s owned by China!” would make sense to me if he wasn’t trying to stop Microsoft, an American company, from buying it. I’ll add that Microsoft is anti-Trump as well."
84,"   Ooh depends if I must be realistic or not! Obviously I’d love all the Rareware games (maybe they could do a deal with Microsoft?)
Of the Nintendo 1st party games:
SM64, OOT, MM,
Paper Mario, Wave Race, F-Zero, 1080,
MK64, Yoshi’s Story, Mario Party, Pokemon Snap"
85,"haha the entire world was just chapstick all along. 😱

this was a creative drawing that i drew on microsoft paint last night that i honestly felt pretty proud of. 

might have to do more of these more often! "
86,": ByteDance Caves To Trump, Agrees To Sell 100% Of TikTok To Microsoft "
87," Microsoft buying them, obvis :p"
88, Microsoft is dipping in on that communis6
89,: So Microsoft is going to buy Tik Tok... I feel so much safer about where our information goes now...
90,: Sources: ByteDance has agreed to divest US operations of TikTok under a proposed new deal with the White House that would see…
91,  Microsoft make zombies. If you want it dead then push for Google to buy it.
92,: ight Microsoft....what's taking so long? write the check LMFOAOWOWIS
93,": As we talk about the tech giants and antitrust, I decided to revisit my experiment trying to block Amazon, Google, Facebook,…"
94,": The future.
"
95,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
96,": This Reuters report makes fairly clear what’s really going on: TikTok is close to a deal to sell to Microsoft, the Chinese own…"
97,": This Reuters report makes fairly clear what’s really going on: TikTok is close to a deal to sell to Microsoft, the Chinese own…"
98,": 5 hrs ago - TikTok banned in USA by Trump starting today 

1 hrs ago - TikTok saved because Microsoft bought it 

3 min ago -…"
99,"_koh: On the one hand you have Microsoft in advanced talks to acquire Tik Tok, and on the other hand Trump threatening to use his sup…"
